[0.000000] (-) TimerEvent: {}
[1.964486] (-) TimerEvent: {}
[1.966830] (rttest) StdoutLine: {'line': b'\x1b[35m\x1b[1mConsolidate compiler generated dependencies of target rttest\x1b[0m\n'}
[1.985518] (rttest) StdoutLine: {'line': b'[ 10%] \x1b[32mBuilding CXX object gtest/CMakeFiles/gtest.dir/src/gtest-all.cc.o\x1b[0m\n'}
[1.991694] (rttest) StdoutLine: {'line': b'[ 20%] \x1b[32mBuilding CXX object gtest/CMakeFiles/gtest_main.dir/src/gtest_main.cc.o\x1b[0m\n'}
[2.000091] (rttest) StdoutLine: {'line': b'[ 30%] \x1b[32mBuilding CXX object CMakeFiles/rttest.dir/src/rttest.cpp.o\x1b[0m\n'}
[2.066155] (-) TimerEvent: {}
[2.167514] (-) TimerEvent: {}
[2.274897] (-) TimerEvent: {}
[2.376919] (-) TimerEvent: {}
[2.477519] (-) TimerEvent: {}
[2.582837] (-) TimerEvent: {}
[2.622210] (rttest) StdoutLine: {'line': b'[ 40%] \x1b[32m\x1b[1mLinking CXX static library libgtest_main.a\x1b[0m\n'}
[2.683061] (-) TimerEvent: {}
[2.785088] (-) TimerEvent: {}
[2.815723] (rttest) StdoutLine: {'line': b'[ 40%] Built target gtest_main\n'}
[2.843648] (rttest) StdoutLine: {'line': b'[ 50%] \x1b[32m\x1b[1mLinking CXX shared library librttest.so\x1b[0m\n'}
[2.890314] (-) TimerEvent: {}
[2.967674] (rttest) StdoutLine: {'line': b'[ 50%] Built target rttest\n'}
[2.997017] (-) TimerEvent: {}
[3.101965] (-) TimerEvent: {}
[3.215081] (-) TimerEvent: {}
[3.322818] (-) TimerEvent: {}
[3.426412] (-) TimerEvent: {}
[3.541594] (-) TimerEvent: {}
[3.642154] (-) TimerEvent: {}
[3.743791] (-) TimerEvent: {}
[3.848806] (-) TimerEvent: {}
[3.957230] (-) TimerEvent: {}
[4.061936] (-) TimerEvent: {}
[4.164547] (-) TimerEvent: {}
[4.274709] (-) TimerEvent: {}
[4.384126] (-) TimerEvent: {}
[4.484751] (-) TimerEvent: {}
[4.586160] (-) TimerEvent: {}
[4.693324] (-) TimerEvent: {}
[4.796113] (-) TimerEvent: {}
[4.899119] (-) TimerEvent: {}
[4.905299] (rttest) StdoutLine: {'line': b'[ 60%] \x1b[32m\x1b[1mLinking CXX static library libgtest.a\x1b[0m\n'}
[5.004429] (-) TimerEvent: {}
[5.043241] (rttest) StdoutLine: {'line': b'[ 60%] Built target gtest\n'}
[5.089520] (rttest) StdoutLine: {'line': b'[ 80%] \x1b[32mBuilding CXX object CMakeFiles/gtest_math_utils.dir/test/test_math_util.cpp.o\x1b[0m\n'}
[5.089809] (rttest) StdoutLine: {'line': b'[ 80%] \x1b[32mBuilding CXX object CMakeFiles/gtest_rttest_api.dir/test/test_api.cpp.o\x1b[0m\n'}
[5.112242] (-) TimerEvent: {}
[5.213005] (-) TimerEvent: {}
[5.318872] (-) TimerEvent: {}
[5.422204] (-) TimerEvent: {}
[5.525918] (-) TimerEvent: {}
[5.631388] (-) TimerEvent: {}
[5.740698] (-) TimerEvent: {}
[5.842513] (-) TimerEvent: {}
[5.856232] (rttest) StdoutLine: {'line': b'[ 90%] \x1b[32m\x1b[1mLinking CXX executable gtest_math_utils\x1b[0m\n'}
[5.931494] (rttest) StdoutLine: {'line': b'[100%] \x1b[32m\x1b[1mLinking CXX executable gtest_rttest_api\x1b[0m\n'}
[5.943809] (-) TimerEvent: {}
[6.046102] (-) TimerEvent: {}
[6.048107] (rttest) StdoutLine: {'line': b'[100%] Built target gtest_math_utils\n'}
[6.118798] (rttest) StdoutLine: {'line': b'[100%] Built target gtest_rttest_api\n'}
[6.137549] (rttest) CommandEnded: {'returncode': 0}
[6.146523] (-) TimerEvent: {}
[6.228230] (rttest) JobProgress: {'identifier': 'rttest', 'progress': 'install'}
